"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"IMPV","Imperva, Inc.","43.15","1467700259.65","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www-qc.nasdaq.com/symbol/impv",
"PI","Impinj, Inc.","23.3","488328692.9","n/a","2016","Capital Goods","Industrial Machinery/Components","https://www-qc.nasdaq.com/symbol/pi",
"IMMY","Imprimis Pharmaceuticals, Inc.","1.82","37375317.98","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/immy",
"INCY","Incyte Corporation","93.06","19639131975.54","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www-qc.nasdaq.com/symbol/incy",
"INDB","Independent Bank Corp.","72.95","2001977208.9","n/a","n/a","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/indb",
"IBCP","Independent Bank Corporation","24.05","516074183.3","n/a","n/a","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/ibcp",
"IBTX","Independent Bank Group, Inc","72.3","2042886387","n/a","2013","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/ibtx",
"INDU","Industrea Acquisition Corp.","9.76","280600000","n/a","2017","Finance","Business Services","https://www-qc.nasdaq.com/symbol/indu",
"INDUU","Industrea Acquisition Corp.","10.12","0","n/a","2017","Finance","Business Services","https://www-qc.nasdaq.com/symbol/induu",
"INDUW","Industrea Acquisition Corp.","0.45","0","n/a","2017","Finance","Business Services","https://www-qc.nasdaq.com/symbol/induw",
"IDSA","Industrial Services of America, Inc.","2.14","17295037.02","n/a","n/a","Consumer Durables","Industrial Specialties","https://www-qc.nasdaq.com/symbol/idsa",
"INFN","Infinera Corporation","7.08","1057236753","n/a","2007","Public Utilities","Telecommunications Equipment","https://www-qc.nasdaq.com/symbol/infn",
"INFI","Infinity Pharmaceuticals, Inc.","1.99","100915751.67","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/infi",
"IPCC","Infinity Property and Casualty Corporation","104.55","1142386485","n/a","2003","Finance","Property-Casualty Insurers","https://www-qc.nasdaq.com/symbol/ipcc",
"IFRX","InflaRx N.V.","23.85","558351682.2","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ifrx",
"III","Information Services Group, Inc.","4.14","179678045.16","n/a","n/a","Consumer Services","Professional Services","https://www-qc.nasdaq.com/symbol/iii",
"IFON","InfoSonics Corp","1.64","5540379.2","n/a","n/a","Consumer Non-Durables","Electronic Components","https://www-qc.nasdaq.com/symbol/ifon",
"IMKTA","Ingles Markets, Incorporated","34.4","696936294.4","n/a","1987","Consumer Services","Food Chains","https://www-qc.nasdaq.com/symbol/imkta",
"INWK","InnerWorkings, Inc.","10.12","557170818.6","n/a","2006","Miscellaneous","Business Services","https://www-qc.nasdaq.com/symbol/inwk",
"INOD","Innodata Inc.","1.26","32605592.04","n/a","1993","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/inod",
"IPHS","Innophos Holdings, Inc.","46.94","916690884.48","n/a","2006","Consumer Durables","Specialty Chemicals","https://www-qc.nasdaq.com/symbol/iphs",
"IOSP","Innospec Inc.","73.15","1765663611.25","n/a","n/a","Basic Industries","Major Chemicals","https://www-qc.nasdaq.com/symbol/iosp",
"ISSC","Innovative Solutions and Support, Inc.","3.12","52363362.48","n/a","2000","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/issc",
"INVA","Innoviva, Inc.","14.53","1569464503.03","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/inva",
"INGN","Inogen, Inc","115.17","2403639015.69","n/a","2014","Health Care","Industrial Specialties","https://www-qc.nasdaq.com/symbol/ingn",
"INOV","Inovalon Holdings, Inc.","14.05","2049517209.55","n/a","2015","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/inov",
